qKfz(t)(1);Statusflag;qKfz(t)(2);Statusflag;qKfz(t)(3);Statusflag;qPkw(t)(1);Statusflag;qPkw(t)(2);Statusflag;qPkw(t)(3);Statusflag;qLkw(t)(1);Statusflag;qLkw(t)(2);Statusflag;qLkw(t)(3);Statusflag;vKfz(t)(1);Statusflag;vKfz(t)(2);Statusflag;vKfz(t)(3);Statusflag;vPkw(t)(1);Statusflag;vPkw(t)(2);Statusflag;vPkw(t)(3);Statusflag;vLkw(t)(1);Statusflag;vLkw(t)(2);Statusflag;vLkw(t)(3);Statusflag;qKfz(t)(1);Statusflag;qKfz(t)(2);Statusflag;qKfz(t)(3);Statusflag;qPkw(t)(1);Statusflag;qPkw(t)(2);Statusflag;qPkw(t)(3);Statusflag;qLkw(t)(1);Statusflag;qLkw(t)(2);Statusflag;qLkw(t)(3);Statusflag;vKfz(t)(1);Statusflag;vKfz(t)(2);Statusflag;vKfz(t)(3);Statusflag;vPkw(t)(1);Statusflag;vPkw(t)(2);Statusflag;vPkw(t)(3);Statusflag;vLkw(t)(1);Statusflag;vLkw(t)(2);Statusflag;vLkw(t)(3);Statusflag;QKfz;Statusflag;QPkw;Statusflag;QLkw;Statusflag;VKfz;Statusflag;VPkw;Statusflag;VLkw;Statusflag
-3;0 Fehl Impl nErm ;-3;0 Fehl Impl wMaL nErm ;;;-3;0 Fehl Impl nErm nErf ;-3;0 Fehl Impl wMaL nErm nErf ;;;-3;0 Fehl Impl nErm ;-3;0 Fehl Impl wMaL nErm ;;;-3;0 Fehl Intp Impl nErm ;-3;0 Fehl Impl nErm nErf ;;;111;1 Intp ;-3;0 Fehl Impl nErm ;;;101;1 Intp ;-2;1 Intp ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
-3;0 Fehl Impl nErm ;27660;1;;;-3;0 Fehl Impl nErm nErf ;24120;0,97 Intp ;;;-3;0 Fehl Impl nErm ;3540;0,97 Intp ;;;-3;0 Fehl Intp Impl nErm ;125;1;;;31;1 Intp ;133;1;;;30;1 Intp ;89;0,97 Intp ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
320940;1 Intp ;-3;0 Fehl Impl wMaL nErm ;;;293820;1 Intp ;-3;0 Fehl Impl wMaL nErm nErf ;;;27120;1 Intp ;-3;0 Fehl Impl wMaL nErm ;;;108;1 Intp ;-3;0 Fehl Impl nErm nErf ;;;118;1 Intp ;-3;0 Fehl Impl nErm ;;;5;1 Intp ;-2;1 Intp ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
35820;1 Intp ;62640;0,9409 Intp ;;;31380;1 Intp ;60180;0,9409 Intp ;;;4440;1 Intp ;2460;0,97 Intp ;;;29;1 Intp ;101;1;;;25;1 Intp ;101;1;;;58;1 Intp ;44;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
-3;0 Fehl Impl nErm ;-3;0 Fehl Impl wMaL nErm ;;;-3;0 Fehl Impl nErm nErf ;-3;0 Fehl Impl wMaL nErm nErf ;;;-3;0 Fehl Impl nErm ;-3;0 Fehl Impl wMaL nErm ;;;-3;0 Fehl Intp Impl nErm ;-3;0 Fehl Impl nErm nErf ;;;16;1 Intp ;-3;0 Fehl Impl nErm ;;;96;1 Intp ;-2;1 Intp ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
217800;1 Intp ;60300;0,97 Intp ;;;192840;1 Intp ;60180;0,97 Intp ;;;24960;1 Intp ;120;0,97 Intp ;;;103;1 Intp ;127;0,97 Intp ;;;115;1 Intp ;163;0,97 Intp ;;;13;1 Intp ;89;0,97 Intp 
162720;1 Intp ;-3;0 Fehl Impl wMaL nErm ;;;161520;1 Intp ;-3;0 Fehl Impl wMaL nErm nErf ;;;1200;1 Intp ;-3;0 Fehl Impl wMaL nErm ;;;84;1 Intp ;-3;0 Fehl Impl nErm nErf ;;;84;1 Intp ;-3;0 Fehl Impl nErm ;;;34;1 Intp ;-2;1 Intp 
243720;1 Intp ;62700;0,9409 Intp ;;;238800;1 Intp ;60180;0,9409 Intp ;;;4920;1 Intp ;2520;0,97 Intp ;;;96;1 Intp ;33;1;;;97;1 Intp ;33;1;;;30;1 Intp ;71;1
10860;1 Intp ;-3;0 Fehl Impl nErm ;;;2760;1 Intp ;-3;0 Fehl Impl nErm nErf ;;;8100;1 Intp ;-3;0 Fehl Impl nErm ;;;92;1 Intp ;-3;0 Fehl Impl nErm nErf ;;;45;1 Intp ;-3;0 Fehl Impl nErm ;;;108;1 Intp ;-2;1 Intp 
-3;0 Fehl Impl wMaL nErm ;-3;0 Fehl Impl wMaL nErm ;;;-3;0 Fehl Impl nErm nErf ;-3;0 Fehl Impl wMaL nErm nErf ;;;-3;0 Fehl Impl nErm ;-3;0 Fehl Impl wMaL nErm ;;;-3;0 Fehl Intp Impl nErm ;-3;0 Fehl Impl nErm nErf ;;;116;1 Intp ;-3;0 Fehl Impl nErm ;;;85;1 Intp ;-2;1 Intp 
-3;0 Fehl Impl nErm ;-3;0 Fehl Impl nErm ;;;-3;0 Fehl Impl nErm nErf ;-3;0 Fehl Impl nErm nErf ;;;-3;0 Fehl Impl nErm ;-3;0 Fehl Impl nErm ;;;-3;0 Fehl Impl nErm nErf ;-3;0 Fehl Impl nErm nErf ;;;-3;0 Fehl Impl nErm ;-3;0 Fehl Impl nErm ;;;-2;1 Intp ;-2;1 Intp 
259560;1 Intp ;-3;0 Fehl Impl nErm ;;;232200;1 Intp ;-3;0 Fehl Impl nErm nErf ;;;27360;1 Intp ;-3;0 Fehl Impl nErm ;;;10;1 Intp ;-3;0 Fehl Impl nErm nErf ;;;7;1 Intp ;-3;0 Fehl Impl nErm ;;;33;1 Intp ;-2;1 Intp 
300360;1 Intp ;-3;0 Fehl Impl nErm ;;;299280;1 Intp ;-3;0 Fehl Impl nErm nErf ;;;1080;1 Intp ;-3;0 Fehl Impl nErm ;;;192;1 Intp ;-3;0 Fehl Impl nErm nErf ;;;192;1 Intp ;-3;0 Fehl Impl nErm ;;;61;1 Intp ;-2;1 Intp 
-3;0 Fehl Impl nErm ;-3;0 Fehl Impl nErm ;;;-3;0 Fehl Impl nErm nErf ;-3;0 Fehl Impl nErm nErf ;;;-3;0 Fehl Impl nErm ;-3;0 Fehl Impl nErm ;;;-3;0 Fehl Impl nErm nErf ;-3;0 Fehl Impl nErm nErf ;;;-3;0 Fehl Impl nErm ;-3;0 Fehl Impl nErm ;;;-2;1 Intp ;-2;1 Intp 
-3;0 Fehl Impl nErm ;-3;0 Fehl Impl nErm ;;;-3;0 Fehl Impl nErm nErf ;-3;0 Fehl Impl nErm nErf ;;;-3;0 Fehl Impl nErm ;-3;0 Fehl Impl nErm ;;;-3;0 Fehl Impl nErm nErf ;-3;0 Fehl Impl nErm nErf ;;;-3;0 Fehl Impl nErm ;-3;0 Fehl Impl nErm ;;;-2;1 Intp ;-2;1 Intp 
